lc_number,doc_count,category_breakdown,sample_files
M0215506NU00370,2,opening_swift=2,KDB_SWIFT발신_21992407_20250619171627.pdf | LC가전문(25.06.19).pdf
M0215506NU00438,3,"amendment=1, opening_swift=2",KDB_SWIFT발신_21992407_20250620154618 (1)  KNK전문.pdf | KDB_SWIFT발신_21992407_20250714163226 어멘드.pdf | 수입신용장조건변경신청서.pdf
M0215507NU00331,2,opening_swift=2,KDB_SWIFT발신_21992407_20250718155945.pdf | LC가전문(25.07.18).pdf
M0215507NU00356,2,opening_swift=2,KDB_SWIFT발신_21994769_20250721154845(디원-산업은행 2025.07.21).pdf | 디원  산업은행LC가전문(25.07.21).pdf
M0215508NU00267,2,opening_swift=2,"디원_가전문(USD1,288,481.04) 징코솔라.pdf | KDB_SWIFT발신_21994769_20251117170215.pdf"
M0215508NU00274,4,opening_swift=4,탑솔라-징코솔라 KDB_SWIFT발신_21992407_20250829152933  (2025.08.29).pdf | 탑솔라 가전문 -징코솔라.pdf | 탑솔라-징코솔라 KDB_SWIFT발신_21992407_20250829152933  (2025.08.29).pdf | KDB_SWIFT발신_21992407_20250829152933.pdf
M0215508NU00281,1,opening_swift=1,"디원_가전문(USD2,712,417.34) 론지솔라.pdf"
M0215509NU00356,1,opening_swift=1,KDB_SWIFT발신_30765961_20250926150519.pdf
M0215511NU00274,2,opening_swift=2,KDB_SWIFT발신_30765961_20251120150933(화신이엔지 산업은행 전문)2025.11.20.pdf | LC_가전문(25.11.20) 징코-화신이엔지.pdf
M0215511NU00388,3,opening_swift=3,KDB_SWIFT발신_21992407_20251127135646.pdf | 탑솔라-징코솔라 LC_가전문(산업은행 25.11.27).pdf | 탑솔라-징코솔라 LC_가전문(산업은행 25.11.27).pdf
M0215601NU00324,2,opening_swift=2,KDB_SWIFT발신_21992407_20260130165548.pdf | 탑솔라_700_가전문(산업은행).pdf
M0215602NU00096,2,opening_swift=2,징코솔라 635WP 18701pcs 산업은행(2026.02.02) LC개설 전문.pdf | 탑솔라 수입신용장 개설건(산업은행)-가전문 2026.02.02.pdf
M0215603NU00139,2,opening_swift=2,KDB_SWIFT발신_21994769_20260305161249  디원.pdf | KDB_SWIFT발신_21994769_20260430133009  디원 어멘드.pdf
M0215603NU00153,0,,
M0215603NU00160,1,opening_swift=1,KDB_SWIFT발신_21992407_20260430133020  탑솔라 어멘드.pdf
M0215604NU00160,1,opening_swift=1,KDB_SWIFT발신_21992407_20260421093621  -  15MW.pdf
M04NG2506NU00032,0,,
M04NG2507NU00025,0,,
M100R2509NU00040,0,,
M100R2511NU00089,0,,
M100R2512NU00025,0,,
M100R2602NU00107,0,,
M100R2602NU00114,0,,
M12MK2502NU00018,0,,
M12MK2502NU00032,0,,
M12MK2503NU00025,0,,
M12MK2503NU00032,0,,
M12MK2503NU00040,0,,
M12MK2504NU00018,0,,
M12MK2504NU00025,0,,
M12MK2504NU00032,0,,
M12MK2507NU00025,0,,
M12MK2508NU00025,0,,
M12MK2508NU00032,0,,
M12MK2508NU00057,0,,
M12MK2510NU00025,0,,
M12MK2510NU00040,0,,
M12MK2511NU00032,0,,
M12MK2601NU00040,0,,
M12MK2602NU00018,0,,
M12MK2602NU00025,0,,
M34PD2601NU00018,0,,
M42M62506NU00032,0,,
